Date,Geography,Views,source
2025-02-04,ET,0,Geography_Ai-Talks-CA
2025-02-05,ET,0,Geography_Ai-Talks-CA
2025-02-06,ET,0,Geography_Ai-Talks-CA
2025-02-07,ET,0,Geography_Ai-Talks-CA
2025-02-08,ET,0,Geography_Ai-Talks-CA
2025-02-09,ET,0,Geography_Ai-Talks-CA
2025-02-10,ET,0,Geography_Ai-Talks-CA
2025-02-11,ET,0,Geography_Ai-Talks-CA
2025-02-12,ET,0,Geography_Ai-Talks-CA
2025-02-13,ET,0,Geography_Ai-Talks-CA
2025-02-14,ET,0,Geography_Ai-Talks-CA
2025-02-15,ET,0,Geography_Ai-Talks-CA
2025-02-16,ET,0,Geography_Ai-Talks-CA
2025-02-17,ET,0,Geography_Ai-Talks-CA
2025-02-18,ET,0,Geography_Ai-Talks-CA
2025-02-19,ET,0,Geography_Ai-Talks-CA
2025-02-20,ET,0,Geography_Ai-Talks-CA
2025-02-21,ET,0,Geography_Ai-Talks-CA
2025-02-22,ET,0,Geography_Ai-Talks-CA
2025-02-23,ET,0,Geography_Ai-Talks-CA
2025-02-24,ET,0,Geography_Ai-Talks-CA
2025-02-25,ET,0,Geography_Ai-Talks-CA
2025-02-26,ET,0,Geography_Ai-Talks-CA
2025-02-27,ET,0,Geography_Ai-Talks-CA
2025-02-28,ET,0,Geography_Ai-Talks-CA
2025-03-01,ET,0,Geography_Ai-Talks-CA
2025-03-02,ET,0,Geography_Ai-Talks-CA
2025-03-03,ET,0,Geography_Ai-Talks-CA
2025-03-04,ET,0,Geography_Ai-Talks-CA
2025-03-05,ET,0,Geography_Ai-Talks-CA
2025-03-06,ET,0,Geography_Ai-Talks-CA
2025-03-07,ET,0,Geography_Ai-Talks-CA
2025-03-08,ET,0,Geography_Ai-Talks-CA
2025-03-09,ET,0,Geography_Ai-Talks-CA
2025-03-10,ET,0,Geography_Ai-Talks-CA
2025-03-11,ET,0,Geography_Ai-Talks-CA
2025-03-12,ET,0,Geography_Ai-Talks-CA
2025-03-13,ET,0,Geography_Ai-Talks-CA
2025-03-14,ET,0,Geography_Ai-Talks-CA
2025-03-15,ET,0,Geography_Ai-Talks-CA
2025-03-16,ET,0,Geography_Ai-Talks-CA
2025-03-17,ET,0,Geography_Ai-Talks-CA
2025-03-18,ET,0,Geography_Ai-Talks-CA
2025-03-19,ET,0,Geography_Ai-Talks-CA
2025-03-20,ET,0,Geography_Ai-Talks-CA
2025-03-21,ET,0,Geography_Ai-Talks-CA
2025-03-22,ET,0,Geography_Ai-Talks-CA
2025-03-23,ET,0,Geography_Ai-Talks-CA
2025-03-24,ET,0,Geography_Ai-Talks-CA
2025-03-25,ET,0,Geography_Ai-Talks-CA
2025-03-26,ET,0,Geography_Ai-Talks-CA
2025-03-27,ET,0,Geography_Ai-Talks-CA
2025-03-28,ET,25,Geography_Ai-Talks-CA
2025-03-29,ET,0,Geography_Ai-Talks-CA
2025-03-30,ET,0,Geography_Ai-Talks-CA
2025-03-31,ET,0,Geography_Ai-Talks-CA
2025-04-01,ET,0,Geography_Ai-Talks-CA
2025-04-02,ET,0,Geography_Ai-Talks-CA
2025-04-03,ET,0,Geography_Ai-Talks-CA
2025-04-04,ET,0,Geography_Ai-Talks-CA
2025-04-05,ET,0,Geography_Ai-Talks-CA
2025-04-06,ET,0,Geography_Ai-Talks-CA
2025-04-07,ET,0,Geography_Ai-Talks-CA
2025-04-08,ET,0,Geography_Ai-Talks-CA
2025-04-09,ET,0,Geography_Ai-Talks-CA
2025-04-10,ET,0,Geography_Ai-Talks-CA
2025-04-11,ET,0,Geography_Ai-Talks-CA
2025-04-12,ET,0,Geography_Ai-Talks-CA
2025-04-13,ET,0,Geography_Ai-Talks-CA
2025-04-14,ET,0,Geography_Ai-Talks-CA
2025-04-15,ET,0,Geography_Ai-Talks-CA
2025-04-16,ET,0,Geography_Ai-Talks-CA
2025-04-17,ET,0,Geography_Ai-Talks-CA
2025-04-18,ET,0,Geography_Ai-Talks-CA
2025-04-19,ET,0,Geography_Ai-Talks-CA
2025-04-20,ET,0,Geography_Ai-Talks-CA
2025-04-21,ET,0,Geography_Ai-Talks-CA
2025-04-22,ET,0,Geography_Ai-Talks-CA
2025-04-23,ET,0,Geography_Ai-Talks-CA
2025-04-24,ET,0,Geography_Ai-Talks-CA
2025-04-25,ET,0,Geography_Ai-Talks-CA
2025-04-26,ET,0,Geography_Ai-Talks-CA
2025-04-27,ET,0,Geography_Ai-Talks-CA
2025-04-28,ET,0,Geography_Ai-Talks-CA
2025-04-29,ET,0,Geography_Ai-Talks-CA
2025-04-30,ET,0,Geography_Ai-Talks-CA
2025-05-01,ET,0,Geography_Ai-Talks-CA
2025-05-02,ET,0,Geography_Ai-Talks-CA
2025-05-03,ET,0,Geography_Ai-Talks-CA
2025-05-04,ET,0,Geography_Ai-Talks-CA
2025-05-05,ET,0,Geography_Ai-Talks-CA
2025-05-06,ET,0,Geography_Ai-Talks-CA
2025-05-07,ET,0,Geography_Ai-Talks-CA
2025-05-08,ET,0,Geography_Ai-Talks-CA
2025-05-09,ET,0,Geography_Ai-Talks-CA
2025-05-10,ET,0,Geography_Ai-Talks-CA
2025-05-11,ET,0,Geography_Ai-Talks-CA
2025-05-12,ET,0,Geography_Ai-Talks-CA
2025-05-13,ET,0,Geography_Ai-Talks-CA
2025-05-14,ET,0,Geography_Ai-Talks-CA
2025-05-15,ET,0,Geography_Ai-Talks-CA
2025-05-16,ET,0,Geography_Ai-Talks-CA
2025-05-17,ET,0,Geography_Ai-Talks-CA
2025-05-18,ET,0,Geography_Ai-Talks-CA
2025-05-19,ET,0,Geography_Ai-Talks-CA
2025-05-20,ET,0,Geography_Ai-Talks-CA
2025-05-21,ET,0,Geography_Ai-Talks-CA
2025-05-22,ET,0,Geography_Ai-Talks-CA
2025-05-23,ET,0,Geography_Ai-Talks-CA
2025-05-24,ET,0,Geography_Ai-Talks-CA
2025-05-25,ET,0,Geography_Ai-Talks-CA
2025-05-26,ET,0,Geography_Ai-Talks-CA
2025-05-27,ET,0,Geography_Ai-Talks-CA
2025-05-28,ET,0,Geography_Ai-Talks-CA
2025-05-29,ET,0,Geography_Ai-Talks-CA
2025-05-30,ET,0,Geography_Ai-Talks-CA
2025-05-31,ET,0,Geography_Ai-Talks-CA
2025-06-01,ET,0,Geography_Ai-Talks-CA
2025-06-02,ET,0,Geography_Ai-Talks-CA
2025-06-03,ET,0,Geography_Ai-Talks-CA
2025-06-04,ET,0,Geography_Ai-Talks-CA
2025-06-05,ET,0,Geography_Ai-Talks-CA
2025-06-06,ET,0,Geography_Ai-Talks-CA
2025-06-07,ET,0,Geography_Ai-Talks-CA
2025-06-08,ET,0,Geography_Ai-Talks-CA
2025-06-09,ET,0,Geography_Ai-Talks-CA
2025-06-10,ET,0,Geography_Ai-Talks-CA
2025-06-11,ET,0,Geography_Ai-Talks-CA
2025-06-12,ET,0,Geography_Ai-Talks-CA
2025-06-13,ET,0,Geography_Ai-Talks-CA
2025-06-14,ET,0,Geography_Ai-Talks-CA
2025-06-15,ET,0,Geography_Ai-Talks-CA
2025-06-16,ET,0,Geography_Ai-Talks-CA
2025-06-17,ET,0,Geography_Ai-Talks-CA
2025-06-18,ET,0,Geography_Ai-Talks-CA
2025-06-19,ET,0,Geography_Ai-Talks-CA
2025-06-20,ET,0,Geography_Ai-Talks-CA
2025-06-21,ET,0,Geography_Ai-Talks-CA
2025-06-22,ET,0,Geography_Ai-Talks-CA
2025-06-23,ET,0,Geography_Ai-Talks-CA
2025-06-24,ET,0,Geography_Ai-Talks-CA
2025-06-25,ET,0,Geography_Ai-Talks-CA
2025-06-26,ET,0,Geography_Ai-Talks-CA
2025-06-27,ET,0,Geography_Ai-Talks-CA
2025-06-28,ET,0,Geography_Ai-Talks-CA
2025-06-29,ET,0,Geography_Ai-Talks-CA
2025-06-30,ET,0,Geography_Ai-Talks-CA
2025-07-01,ET,0,Geography_Ai-Talks-CA
2025-07-02,ET,0,Geography_Ai-Talks-CA
2025-07-03,ET,0,Geography_Ai-Talks-CA
2025-07-04,ET,0,Geography_Ai-Talks-CA
2025-07-05,ET,0,Geography_Ai-Talks-CA
2025-07-06,ET,0,Geography_Ai-Talks-CA
2025-07-07,ET,0,Geography_Ai-Talks-CA
2025-07-08,ET,0,Geography_Ai-Talks-CA
2025-07-09,ET,0,Geography_Ai-Talks-CA
2025-07-10,ET,0,Geography_Ai-Talks-CA
2025-07-11,ET,0,Geography_Ai-Talks-CA
