Date,Traffic source,Views,traffic_source
2025-02-04,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-02-05,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-02-06,Direct or unknown,8,Traffic Sources_Ai-Talks-CA
2025-02-07,Direct or unknown,1,Traffic Sources_Ai-Talks-CA
2025-02-08,Direct or unknown,1,Traffic Sources_Ai-Talks-CA
2025-02-09,Direct or unknown,1,Traffic Sources_Ai-Talks-CA
2025-02-10,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-02-11,Direct or unknown,6,Traffic Sources_Ai-Talks-CA
2025-02-12,Direct or unknown,2,Traffic Sources_Ai-Talks-CA
2025-02-13,Direct or unknown,2,Traffic Sources_Ai-Talks-CA
2025-02-14,Direct or unknown,7,Traffic Sources_Ai-Talks-CA
2025-02-15,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-02-16,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-02-17,Direct or unknown,1,Traffic Sources_Ai-Talks-CA
2025-02-18,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-02-19,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-02-20,Direct or unknown,3,Traffic Sources_Ai-Talks-CA
2025-02-21,Direct or unknown,1,Traffic Sources_Ai-Talks-CA
2025-02-22,Direct or unknown,1,Traffic Sources_Ai-Talks-CA
2025-02-23,Direct or unknown,1,Traffic Sources_Ai-Talks-CA
2025-02-24,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-02-25,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-02-26,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-02-27,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-02-28,Direct or unknown,1,Traffic Sources_Ai-Talks-CA
2025-03-01,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-03-02,Direct or unknown,1,Traffic Sources_Ai-Talks-CA
2025-03-03,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-03-04,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-03-05,Direct or unknown,1,Traffic Sources_Ai-Talks-CA
2025-03-06,Direct or unknown,2,Traffic Sources_Ai-Talks-CA
2025-03-07,Direct or unknown,1,Traffic Sources_Ai-Talks-CA
2025-03-08,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-03-09,Direct or unknown,1,Traffic Sources_Ai-Talks-CA
2025-03-10,Direct or unknown,1,Traffic Sources_Ai-Talks-CA
2025-03-11,Direct or unknown,1,Traffic Sources_Ai-Talks-CA
2025-03-12,Direct or unknown,1,Traffic Sources_Ai-Talks-CA
2025-03-13,Direct or unknown,2,Traffic Sources_Ai-Talks-CA
2025-03-14,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-03-15,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-03-16,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-03-17,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-03-18,Direct or unknown,4,Traffic Sources_Ai-Talks-CA
2025-03-19,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-03-20,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-03-21,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-03-22,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-03-23,Direct or unknown,2,Traffic Sources_Ai-Talks-CA
2025-03-24,Direct or unknown,1,Traffic Sources_Ai-Talks-CA
2025-03-25,Direct or unknown,1,Traffic Sources_Ai-Talks-CA
2025-03-26,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-03-27,Direct or unknown,2,Traffic Sources_Ai-Talks-CA
2025-03-28,Direct or unknown,10,Traffic Sources_Ai-Talks-CA
2025-03-29,Direct or unknown,3,Traffic Sources_Ai-Talks-CA
2025-03-30,Direct or unknown,3,Traffic Sources_Ai-Talks-CA
2025-03-31,Direct or unknown,1,Traffic Sources_Ai-Talks-CA
2025-04-01,Direct or unknown,2,Traffic Sources_Ai-Talks-CA
2025-04-02,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-04-03,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-04-04,Direct or unknown,1,Traffic Sources_Ai-Talks-CA
2025-04-05,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-04-06,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-04-07,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-04-08,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-04-09,Direct or unknown,15,Traffic Sources_Ai-Talks-CA
2025-04-10,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-04-11,Direct or unknown,9,Traffic Sources_Ai-Talks-CA
2025-04-12,Direct or unknown,2,Traffic Sources_Ai-Talks-CA
2025-04-13,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-04-14,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-04-15,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-04-16,Direct or unknown,4,Traffic Sources_Ai-Talks-CA
2025-04-17,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-04-18,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-04-19,Direct or unknown,1,Traffic Sources_Ai-Talks-CA
2025-04-20,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-04-21,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-04-22,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-04-23,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-04-24,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-04-25,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-04-26,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-04-27,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-04-28,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-04-29,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-04-30,Direct or unknown,1,Traffic Sources_Ai-Talks-CA
2025-05-01,Direct or unknown,1,Traffic Sources_Ai-Talks-CA
2025-05-02,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-05-03,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-05-04,Direct or unknown,1,Traffic Sources_Ai-Talks-CA
2025-05-05,Direct or unknown,5,Traffic Sources_Ai-Talks-CA
2025-05-06,Direct or unknown,1,Traffic Sources_Ai-Talks-CA
2025-05-07,Direct or unknown,1,Traffic Sources_Ai-Talks-CA
2025-05-08,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-05-09,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-05-10,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-05-11,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-05-12,Direct or unknown,1,Traffic Sources_Ai-Talks-CA
2025-05-13,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-05-14,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-05-15,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-05-16,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-05-17,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-05-18,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-05-19,Direct or unknown,1,Traffic Sources_Ai-Talks-CA
2025-05-20,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-05-21,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-05-22,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-05-23,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-05-24,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-05-25,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-05-26,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-05-27,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-05-28,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-05-29,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-05-30,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-05-31,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-06-01,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-06-02,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-06-03,Direct or unknown,2,Traffic Sources_Ai-Talks-CA
2025-06-04,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-06-05,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-06-06,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-06-07,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-06-08,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-06-09,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-06-10,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-06-11,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-06-12,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-06-13,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-06-14,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-06-15,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-06-16,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-06-17,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-06-18,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-06-19,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-06-20,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-06-21,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-06-22,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-06-23,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-06-24,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-06-25,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-06-26,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-06-27,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-06-28,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-06-29,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-06-30,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-07-01,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-07-02,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-07-03,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-07-04,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-07-05,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-07-06,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-07-07,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-07-08,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-07-09,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-07-10,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-07-11,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-07-12,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-07-13,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-07-14,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-07-15,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-07-16,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-07-17,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-07-18,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-07-19,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-07-20,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-07-21,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-07-22,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-07-23,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-07-24,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-07-25,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-07-26,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-07-27,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-07-28,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-07-29,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-07-30,Direct or unknown,1,Traffic Sources_Ai-Talks-CA
2025-07-31,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-08-01,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-08-02,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-08-03,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-08-04,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-08-05,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-08-06,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
2025-08-07,Direct or unknown,0,Traffic Sources_Ai-Talks-CA
